Species,psychrophilic,mesophilic,thermophilic,aerobe,anaerobe,obligate aerobe,obligate anaerobe,facultative aerobe,facultative anaerobe,microaerophile,aerotolerant
Corynebacterium phocae,0,1,0,,,,,,,,
Corynebacterium capitovis,0,1,0,,,,,,,,
Corynebacterium auriscanis,0,1,0,,,,,,,,
Corynebacterium aurimucosum,0,1,0,2,0,0,0,0,1,0,0
Corynebacterium appendicis,0,1,0,0,0,0,0,0,1,2,0
Corynebacterium glaucum,0,1,0,0,0,0,0,0,1,1,0
Corynebacterium efficiens,0,1,0,1,0,0,0,0,1,0,0
Corynebacterium freneyi,0,1,0,,,,,,,,
Corynebacterium simulans,1,1,0,,,,,,,,
Corynebacterium kroppenstedtii,1,1,0,,,,,,,,
Corynebacterium singulare,0,1,0,1,0,0,0,0,1,0,0
Corynebacterium durum,0,1,0,2,0,0,0,0,0,0,0
Corynebacterium falsenii,0,1,0,,,,,,,,
Corynebacterium mastitidis,0,1,0,,,,,,,,
Corynebacterium pollutisoli,0,1,1,,,,,,,,
Corynebacterium jeddahense,0,1,0,,,,,,,,
Corynebacterium oculi,0,1,0,0,0,0,1,0,0,1,0
Corynebacterium lowii,0,1,1,0,0,0,1,0,0,1,0
Naumannella halotolerans,0,1,0,,,,,,,,
Hirschia maritima,0,1,0,,,,,,,,
Hirschia baltica,0,1,0,,,,,,,,
Salinibacterium amurskyense,1,0,0,,,,,,,,
Harryflintia acetispora,0,1,0,,,,,,,,
Erysipelothrix larvae,,,,0,1,0,0,0,1,0,0
Erysipelothrix tonsillarum,0,1,0,,,,,,,,
Erysipelothrix rhusiopathiae,0,1,0,,,,,,,,
Allochromatium warmingii,0,1,0,,,,,,,,
Luteimonas arsenica,0,1,0,,,,,,,,
Luteimonas terrae,0,1,0,,,,,,,,
Luteimonas abyssi,0,1,0,,,,,,,,
Luteimonas huabeiensis,0,1,0,,,,,,,,
Luteimonas marina,1,1,0,2,0,0,0,0,0,0,0
Luteimonas aestuarii,0,1,0,,,,,,,,
Luteimonas mephitis,0,1,0,,,,,,,,
Chromatium okenii,0,1,0,,,,,,,,
Holdemanella biformis,0,1,0,0,3,0,0,0,0,0,0
Anaerobacillus isosaccharinicus,0,1,0,,,,,,,,
Anaerobacillus alkalilacustris,0,1,0,,,,,,,,
Anaerobacillus alkalidiazotrophicus,,,,0,1,0,0,0,1,0,0
Pelagirhabdus alkalitolerans,0,1,0,,,,,,,,
Camelimonas lactis,0,1,0,2,0,0,0,0,0,0,0
Alloprevotella tannerae,0,1,0,,,,,,,,
Alloprevotella rava,0,1,0,0,4,0,0,0,0,0,0
Chlorobaculum parvum,,,,0,1,0,1,0,0,0,0
Chlorobaculum limnaeum,,,,0,1,0,1,0,0,0,0
Chlorobaculum tepidum,,,,0,1,0,1,0,0,0,0
Rahnella aquatilis,0,1,0,,,,,,,,
Micrococcus terreus,0,1,0,,,,,,,,
Micrococcus flavus,0,1,0,2,0,0,0,0,0,0,0
Micrococcus lylae,0,1,0,,,,,,,,
Micrococcus luteus,0,1,0,,,,,,,,
Micrococcus aloeverae,0,1,0,,,,,,,,
Terriglobus roseus,1,1,0,,,,,,,,
Marinococcus luteus,0,1,0,2,0,0,0,0,0,0,0
Marinococcus halotolerans,0,1,0,2,0,0,0,0,0,0,0
Marinococcus halophilus,0,1,0,,,,,,,,
Nitrococcus mobilis,0,0,1,,,,,,,,
Stackebrandtia nassauensis,0,1,0,,,,,,,,
Tatumella saanichensis,0,1,0,,,,,,,,
Tatumella morbirosei,0,1,0,,,,,,,,
Tatumella punctata,0,1,0,,,,,,,,
Tatumella citrea,0,1,0,,,,,,,,
Tatumella ptyseos,0,1,0,,,,,,,,
Deferribacter desulfuricans,,,,0,1,0,1,0,0,0,0
Phreatobacter cathodiphilus,0,1,0,,,,,,,,
Phreatobacter stygius,0,1,0,,,,,,,,
Phreatobacter oligotrophus,0,1,0,,,,,,,,
Desulfitibacter alkalitolerans,0,1,0,,,,,,,,
Acidaminococcus intestini,0,1,0,0,2,0,1,0,0,0,0
Acidaminococcus fermentans,0,1,0,0,2,0,0,0,0,0,0
Sandarakinorhabdus limnophila,0,1,0,,,,,,,,
Methanotorris formicicus,0,1,0,,,,,,,,
Methanotorris igneus,0,0,1,,,,,,,,
Marichromatium purpuratum,0,1,0,,,,,,,,
Dehalococcoides mccartyi,,,,0,2,0,0,0,0,0,0
Asticcacaulis benevestitus,0,1,0,,,,,,,,
Oenococcus oeni,0,1,0,,,,,,,,
Saliniradius amylolyticus,1,1,0,,,,,,,,
Persephonella marina,0,0,1,,,,,,,,
Allosalinactinospora lopnorensis,0,1,0,,,,,,,,
Diaphorobacter nitroreducens,,,,,,,,,,,
Diaphorobacter nitroreducens,0,1,0,,,,,,,,
Cosenzaea myxofaciens,0,1,0,,,,,,,,
Sinomonas mesophila,0,1,0,,,,,,,,
Sinomonas humi,0,1,0,,,,,,,,
Sinomonas atrocyanea,0,1,0,,,,,,,,
Aquabacterium parvum,0,1,0,,,,,,,,
Rothia nasimurium,0,1,0,,,,,,,,
Rothia aeria,0,1,0,1,0,0,0,0,0,1,0
Rothia dentocariosa,0,1,0,1,0,0,0,0,0,1,0
Rothia mucilaginosa,0,1,0,,,,,,,,
Rothia kristinae,0,1,0,,,,,,,,
Actinobaculum massiliense,,,,0,1,0,0,0,0,1,0
Actinobaculum suis,0,1,0,0,3,0,1,0,0,0,0
Thermogemmatispora onikobensis,,,,2,0,0,0,0,0,0,0
Thermogemmatispora carboxidivorans,0,0,1,,,,,,,,
Luteipulveratus halotolerans,0,0,1,,,,,,,,
Macromonas bipunctata,0,1,0,,,,,,,,
Brachybacterium endophyticum,,,,2,0,0,0,0,0,0,0
Brachybacterium ginsengisoli,0,1,0,,,,,,,,
Brachybacterium squillarum,0,1,0,,,,,,,,
Brachybacterium phenoliresistens,0,1,0,,,,,,,,
Brachybacterium muris,0,1,0,,,,,,,,
Brachybacterium alimentarium,0,1,0,,,,,,,,
Brachybacterium paraconglomeratum,0,1,0,,,,,,,,
Brachybacterium nesterenkovii,0,1,0,,,,,,,,
Brachybacterium faecium,0,1,0,,,,,,,,
Magnetospirillum kuznetsovii,0,1,0,0,0,0,0,0,1,1,0
Magnetospirillum moscoviense,0,1,0,,,,,,,,
Magnetospirillum marisnigri,0,1,0,,,,,,,,
Magnetospirillum caucaseum,0,1,0,,,,,,,,
Magnetospirillum magnetotacticum,0,1,0,,,,,,,,
Dokdonia donghaensis,0,1,0,2,0,0,0,0,0,0,0
Aureitalea marina,0,1,0,2,0,0,0,0,0,0,0
Deefgea rivuli,0,1,0,,,,,,,,
Kutzneria albida,0,1,0,,,,,,,,
Eremococcus coleocola,0,1,0,0,0,0,0,0,1,1,0
Brenneria goodwinii,0,1,0,,,,,,,,
Brenneria alni,0,1,0,,,,,,,,
Brenneria salicis,0,1,0,,,,,,,,
Brenneria rubrifaciens,0,1,0,,,,,,,,
Brenneria nigrifluens,0,1,0,,,,,,,,
Psychrobacillus psychrotolerans,0,1,0,,,,,,,,
Psychrobacillus psychrodurans,0,1,0,,,,,,,,
Blastococcus litoris,0,1,0,2,0,0,0,0,0,0,0
Blastococcus xanthinilyticus,0,1,0,,,,,,,,
Blastococcus colisei,0,1,0,,,,,,,,
Blastococcus saxobsidens,0,1,0,2,0,0,0,0,0,0,0
Blastococcus aggregatus,0,1,0,,,,,,,,
Mariprofundus ferrooxydans,0,1,0,,,,,,,,
Riemerella columbipharyngis,,,,0,0,0,0,1,0,1,0
Riemerella columbina,0,1,0,,,,,,,,
Yoonia sediminilitoris,0,1,0,,,,,,,,
Yoonia litorea,0,1,0,2,0,0,0,0,0,0,0
Yoonia rosea,0,1,0,,,,,,,,
Yoonia maricola,0,1,0,,,,,,,,
Yoonia tamlensis,0,1,0,2,0,0,0,0,0,0,0
Yoonia vestfoldensis,0,1,0,,,,,,,,
Actinomycetospora succinea,0,1,0,,,,,,,,
Actinomycetospora cinnamomea,0,1,0,,,,,,,,
Actinomycetospora chiangmaiensis,0,1,0,,,,,,,,
Saccharibacter floricola,0,1,0,,,,,,,,
Vallitalea okinawensis,0,1,0,,,,,,,,
Granulibacter bethesdensis,0,1,0,,,,,,,,
Labedella gwakjiensis,0,1,0,2,0,0,0,0,0,0,0
Paenibacillus stellifer,0,1,0,2,0,0,0,0,0,0,0
Paenibacillus naphthalenovorans,0,1,0,,,,,,,,
Paenibacillus borealis,,,,1,0,0,0,0,1,0,0
Paenibacillus illinoisensis,0,1,0,,,,,,,,
Paenibacillus apiarius,0,1,0,,,,,,,,
Paenibacillus chitinolyticus,0,1,0,,,,,,,,
Paenibacillus ehimensis,0,1,0,,,,,,,,
Paenibacillus kobensis,0,1,0,,,,,,,,
Paenibacillus curdlanolyticus,0,1,0,,,,,,,,
Paenibacillus popilliae,0,1,0,1,0,0,0,0,0,1,0
Paenibacillus peoriae,0,1,0,,,,,,,,
Paenibacillus mucilaginosus,0,1,0,,,,,,,,
Paenibacillus durus,0,1,0,,,,,,,,
Paenibacillus thiaminolyticus,0,1,0,,,,,,,,
Paenibacillus glucanolyticus,0,1,0,,,,,,,,
Paenibacillus polymyxa,0,1,0,,,,,,,,
Paenibacillus pabuli,0,1,0,,,,,,,,
Paenibacillus macerans,1,1,0,,,,,,,,
Paenibacillus lautus,0,1,0,,,,,,,,
Paenibacillus chondroitinus,0,1,0,,,,,,,,
Paenibacillus amylolyticus,0,1,0,,,,,,,,
Paenibacillus amylolyticus,0,1,0,,,,,,,,
Paenibacillus amylolyticus,,,,,,,,,,,
Paenibacillus alginolyticus,0,1,0,,,,,,,,
Paenibacillus xerothermodurans,0,1,0,,,,,,,,
Paenibacillus jilunlii,0,1,0,,,,,,,,
Paenibacillus tianmuensis,0,1,0,,,,,,,,
Paenibacillus sophorae,0,1,0,,,,,,,,
Paenibacillus uliginis,0,1,0,,,,,,,,
Paenibacillus glacialis,0,1,0,,,,,,,,
Paenibacillus pinihumi,0,1,0,,,,,,,,
Paenibacillus xylanexedens,0,1,0,,,,,,,,
Paenibacillus donghaensis,0,1,0,,,,,,,,
Paenibacillus harenae,0,1,0,2,0,0,0,0,0,0,0
Paenibacillus castaneae,0,1,0,,,,,,,,
Paenibacillus ginsengihumi,0,1,0,2,0,0,0,0,0,0,0
Paenibacillus forsythiae,0,1,0,,,,,,,,
Paenibacillus taichungensis,0,1,0,,,,,,,,
Paenibacillus fonticola,0,1,0,,,,,,,,
Paenibacillus sabinae,0,1,0,,,,,,,,
Paenibacillus cellulosilyticus,0,1,0,,,,,,,,
Paenibacillus barengoltzii,0,1,0,,,,,,,,
Paenibacillus pasadenensis,0,1,0,,,,,,,,
Paenibacillus elgii,0,1,0,,,,,,,,
Paenibacillus dendritiformis,0,1,0,,,,,,,,
Paenibacillus campinasensis,0,1,0,,,,,,,,
Paenibacillus taiwanensis,0,1,0,,,,,,,,
Paenibacillus wynnii,0,1,0,,,,,,,,
Paenibacillus zanthoxyli,1,0,0,,,,,,,,
Paenibacillus assamensis,0,1,0,,,,,,,,
Paenibacillus larvae,0,1,0,1,0,0,0,0,0,1,0
Paenibacillus rhizosphaerae,0,1,0,,,,,,,,
Paenibacillus barcinonensis,0,1,0,,,,,,,,
Paenibacillus sanguinis,0,1,0,1,0,0,0,0,1,0,0
Paenibacillus agaridevorans,0,1,0,,,,,,,,
Paenibacillus lactis,0,1,0,,,,,,,,
Paenibacillus daejeonensis,0,1,0,,,,,,,,
Paenibacillus odorifer,0,1,0,,,,,,,,
Paenibacillus graminis,0,1,0,,,,,,,,
Paenibacillus terrae,0,1,0,,,,,,,,
Paenibacillus antarcticus,0,1,0,,,,,,,,
Paenibacillus rigui,0,1,0,2,0,0,0,0,0,0,0
Paenibacillus sonchi,0,1,0,,,,,,,,
Paenibacillus oryzae,1,1,0,,,,,,,,
Paenibacillus solani,1,1,1,,,,,,,,
Paenibacillus ihumii,0,1,0,,,,,,,,
Paenibacillus etheri,0,1,0,,,,,,,,
Paenibacillus physcomitrellae,0,1,0,,,,,,,,
Paenibacillus pectinilyticus,0,1,0,1,0,0,0,0,0,1,0
Paenibacillus kribbensis,0,1,0,,,,,,,,
Paenibacillus catalpae,0,1,0,,,,,,,,
Paenibacillus algorifonticola,0,1,0,,,,,,,,
Paenibacillus polysaccharolyticus,1,1,1,,,,,,,,
Paenibacillus crassostreae,0,1,0,,,,,,,,
Paenibacillus senegalimassiliensis,1,0,0,,,,,,,,
Paenibacillus thalictri,0,1,0,,,,,,,,
Oleiphilus messinensis,0,1,0,,,,,,,,
Marininema mesophilum,0,1,0,,,,,,,,
Ketobacter alkanivorans,,,,2,0,0,0,0,0,0,0
Panacibacter ginsenosidivorans,,,,2,0,0,0,0,0,0,0
Thermodesulfatator atlanticus,0,0,1,0,2,0,0,0,0,0,0
Thermodesulfatator indicus,0,0,1,0,2,0,0,0,0,0,0
Brackiella oedipodis,0,1,0,2,0,0,0,0,0,1,0
Gardnerella vaginalis,0,1,0,0,2,0,0,0,0,2,0
Haematobacter missouriensis,0,1,0,,,,,,,,
Haematobacter massiliensis,0,1,0,,,,,,,,
Hyperthermus butylicus,0,1,0,,,,,,,,
Muribacter muris,0,0,0,,,,,,,,
Ornithinimicrobium flavum,0,1,0,,,,,,,,
Ornithinimicrobium pekingense,1,1,0,,,,,,,,
Sulfobacillus acidophilus,0,0,1,,,,,,,,
Bradyrhizobium stylosanthis,0,1,0,,,,,,,,
Bradyrhizobium mercantei,0,1,0,,,,,,,,
Bradyrhizobium yuanmingense,0,1,0,,,,,,,,
Bradyrhizobium huanghuaihaiense,0,1,0,,,,,,,,
Bradyrhizobium daqingense,0,1,0,,,,,,,,
Bradyrhizobium vignae,0,1,0,,,,,,,,
Bradyrhizobium jicamae,1,1,0,,,,,,,,
Bradyrhizobium pachyrhizi,0,1,0,,,,,,,,
Bradyrhizobium liaoningense,0,1,0,,,,,,,,
Bradyrhizobium canariense,0,1,0,,,,,,,,
Bradyrhizobium elkanii,0,1,0,,,,,,,,
Bradyrhizobium oligotrophicum,0,1,0,,,,,,,,
Bradyrhizobium amphicarpaeae,0,1,0,,,,,,,,
Segniliparus rugosus,,,,2,0,0,0,0,0,0,0
Segniliparus rotundus,0,1,0,2,0,0,0,0,0,0,0
Caldanaerobacter subterraneus,0,0,1,,,,,,,,
Nitrosopumilus adriaticus,0,1,0,,,,,,,,
Nitrosopumilus maritimus,0,1,0,,,,,,,,
Solimicrobium silvestre,,,,1,0,0,0,0,0,1,0
Bacteriovorax stolpii,0,1,0,,,,,,,,
Photobacterium toruni,0,1,0,,,,,,,,
Photobacterium proteolyticum,0,1,0,1,0,0,0,0,1,0,0
Photobacterium piscicola,0,1,0,,,,,,,,
Photobacterium sanctipauli,0,1,0,,,,,,,,
Photobacterium gaetbulicola,1,0,0,3,0,0,0,0,0,0,0
Photobacterium aphoticum,0,1,0,,,,,,,,
Photobacterium swingsii,0,1,0,,,,,,,,
Photobacterium aquimaris,0,1,0,,,,,,,,
Photobacterium kishitanii,1,1,0,,,,,,,,
Photobacterium lutimaris,,,,1,1,0,0,0,0,0,0
Photobacterium ganghwense,0,1,0,1,0,0,0,0,1,0,0
Photobacterium frigidiphilum,0,1,0,,,,,,,,
Photobacterium rosenbergii,1,0,0,,,,,,,,
Photobacterium leiognathi,1,1,0,,,,,,,,
Photobacterium angustum,0,1,0,,,,,,,,
Photobacterium halotolerans,0,1,0,,,,,,,,
Photobacterium lipolyticum,0,1,0,,,,,,,,
Photobacterium damselae,1,0,0,,,,,,,,
Photobacterium indicum,1,1,0,,,,,,,,
Porphyrobacter tepidarius,0,1,0,,,,,,,,
Marispirochaeta aestuarii,,,,0,1,0,1,0,0,0,0
Muricauda lutaonensis,0,1,0,,,,,,,,
Muricauda zhangzhouensis,0,1,0,,,,,,,,
Muricauda ruestringensis,0,1,0,,,,,,,,
Proteiniborus ethanoligenes,0,1,0,0,2,0,0,0,0,0,0
Oceanisphaera avium,,,,2,0,0,0,0,0,0,0
Oceanisphaera arctica,0,1,0,2,0,0,0,0,0,0,0
Eggerthia catenaformis,,,,0,2,0,0,0,0,0,0
Caldicoprobacter oshimai,0,0,1,,,,,,,,
Ereboglobus luteus,0,1,0,,,,,,,,
Granulosicoccus antarcticus,0,1,0,,,,,,,,
Luteitalea pratensis,,,,2,0,0,0,0,0,0,0
Vulcanibacillus modesticaldus,,,,0,1,0,1,0,0,0,0
Thermobifida halotolerans,0,1,0,2,0,0,0,0,0,0,0
Thermobifida cellulosilytica,0,1,0,,,,,,,,
Thermobifida fusca,0,0,1,,,,,,,,
Caviibacter abscessus,,,,0,1,0,1,0,0,0,0
Thiolapillus brandeum,0,1,0,,,,,,,,
Gramella forsetii,0,1,0,,,,,,,,
Gramella portivictoriae,0,1,0,,,,,,,,
Gramella echinicola,0,1,0,,,,,,,,
Akkermansia glycaniphila,1,0,0,,,,,,,,
Akkermansia muciniphila,0,1,0,0,2,0,0,0,0,0,0
Salsuginibacillus halophilus,0,1,0,,,,,,,,
Salsuginibacillus kocurii,0,1,0,,,,,,,,
Defluviimonas aquaemixtae,0,1,0,,,,,,,,
Defluviimonas denitrificans,0,1,0,,,,,,,,
Gordonibacter urolithinfaciens,,,,0,3,0,0,0,0,0,0
Gordonibacter pamelaeae,0,1,0,0,4,0,0,0,0,0,0
Chryseobacterium taihuense,0,1,0,,,,,,,,
Chryseobacterium viscerum,0,1,0,2,0,0,0,0,0,0,0
Chryseobacterium taklimakanense,0,1,0,1,0,0,0,0,1,0,0
Chryseobacterium cucumeris,0,1,0,,,,,,,,
Chryseobacterium zeae,0,1,0,,,,,,,,
Chryseobacterium geocarposphaerae,0,1,0,,,,,,,,
Chryseobacterium arachidis,0,1,0,,,,,,,,
Chryseobacterium contaminans,0,1,0,,,,,,,,
Chryseobacterium hispalense,,,,2,0,0,0,0,0,0,0
Chryseobacterium carnipullorum,0,1,0,,,,,,,,
Chryseobacterium frigidisoli,0,1,0,,,,,,,,
Chryseobacterium arthrosphaerae,1,0,0,2,0,0,0,0,0,0,0
Chryseobacterium vrystaatense,0,1,0,,,,,,,,
Chryseobacterium koreense,1,1,0,2,0,1,0,0,0,0,0
Chryseobacterium piperi,0,1,0,2,0,0,0,0,0,0,0
Chryseobacterium chaponense,0,1,0,,,,,,,,
Chryseobacterium culicis,0,1,0,2,0,0,0,0,0,0,0
Chryseobacterium treverense,0,1,0,2,0,0,0,0,0,0,0
Chryseobacterium solincola,1,1,0,2,0,0,0,0,0,0,0
Chryseobacterium palustre,0,1,0,,,,,,,,
Chryseobacterium humi,0,1,0,,,,,,,,
Chryseobacterium piscicola,0,1,0,,,,,,,,
Chryseobacterium soli,1,0,0,,,,,,,,
Chryseobacterium jejuense,0,1,0,,,,,,,,
Chryseobacterium ureilyticum,0,1,0,3,0,0,0,0,0,0,0
Chryseobacterium molle,0,1,0,2,0,0,0,0,0,0,0
Chryseobacterium gambrini,0,1,0,2,0,0,0,0,0,0,0
Chryseobacterium hominis,0,1,0,,,,,,,,
Chryseobacterium hungaricum,0,1,0,,,,,,,,
Chryseobacterium luteum,0,1,0,,,,,,,,
Chryseobacterium bovis,1,1,0,,,,,,,,
Chryseobacterium daeguense,0,1,0,2,0,0,0,0,0,0,0
Chryseobacterium gregarium,0,1,0,,,,,,,,
Chryseobacterium haifense,0,1,0,,,,,,,,
Chryseobacterium oranimense,0,1,0,,,,,,,,
Chryseobacterium soldanellicola,0,1,0,3,0,0,0,0,0,0,0
Chryseobacterium wanjuense,0,1,0,,,,,,,,
Chryseobacterium caeni,0,1,0,2,0,0,0,0,0,0,0
Chryseobacterium taichungense,0,1,0,2,0,0,0,0,0,0,0
Chryseobacterium formosense,1,1,0,,,,,,,,
Chryseobacterium shigense,0,1,0,2,0,0,0,0,0,0,0
Chryseobacterium jeonii,0,1,0,2,0,0,0,0,0,0,0
Chryseobacterium antarcticum,1,0,0,,,,,,,,
Chryseobacterium joostei,1,0,0,,,,,,,,
Chryseobacterium scophthalmum,0,1,0,,,,,,,,
Chryseobacterium indoltheticum,1,1,0,,,,,,,,
Chryseobacterium indologenes,0,1,0,,,,,,,,
Chryseobacterium taeanense,0,1,0,3,0,0,0,0,0,0,0
Chryseobacterium gleum,0,1,0,,,,,,,,
Chryseobacterium halperniae,0,1,0,,,,,,,,
Chryseobacterium tenax,0,1,0,,,,,,,,
Chryseobacterium limigenitum,0,1,0,,,,,,,,
Chryseobacterium taiwanense,1,0,0,,,,,,,,
Chryseobacterium hispanicum,0,1,0,,,,,,,,
Chryseobacterium angstadtii,0,1,0,2,0,0,0,0,0,0,0
Chryseobacterium lactis,0,1,0,,,,,,,,
Chryseobacterium kwangjuense,0,1,0,,,,,,,,
Chryseobacterium glaciei,0,1,0,,,,,,,,
Parasphingopyxis lamellibrachiae,0,1,0,,,,,,,,
Anaerosphaera aminiphila,,,,0,2,0,0,0,0,0,0
Actinoplanes xinjiangensis,1,1,0,2,0,0,0,0,0,0,0
Actinoplanes friuliensis,0,1,0,,,,,,,,
Actinoplanes liguriensis,0,1,0,,,,,,,,
Actinoplanes garbadinensis,0,1,0,,,,,,,,
Actinoplanes derwentensis,0,1,0,,,,,,,,
Actinoplanes teichomyceticus,0,1,0,,,,,,,,
Actinoplanes utahensis,0,1,0,,,,,,,,
Actinoplanes regularis,0,1,0,,,,,,,,
Actinoplanes rectilineatus,0,1,0,,,,,,,,
Actinoplanes philippinensis,0,1,0,,,,,,,,
Actinoplanes missouriensis,0,1,0,,,,,,,,
Actinoplanes italicus,0,1,0,,,,,,,,
Actinoplanes globisporus,0,1,0,,,,,,,,
Actinoplanes campanulatus,0,1,0,,,,,,,,
Actinoplanes brasiliensis,0,1,0,,,,,,,,
Niastella populi,0,1,0,,,,,,,,
Niastella yeongjuensis,0,1,0,,,,,,,,
Niastella koreensis,0,1,0,,,,,,,,
Ruminiclostridium sufflavum,0,0,1,0,2,0,0,0,0,0,0
Ruminiclostridium josui,0,1,0,,,,,,,,
Ruminiclostridium hungatei,0,0,1,,,,,,,,
Ruminiclostridium cellulolyticum,,,,0,2,0,0,0,0,0,0
Ruminiclostridium papyrosolvens,1,1,1,,,,,,,,
Ferrimonas sediminum,0,1,0,,,,,,,,
Ferrimonas senticii,1,1,0,,,,,,,,
Ferrimonas kyonanensis,0,1,0,,,,,,,,
Ferrimonas marina,,,,1,0,0,0,0,1,0,0
Ferrimonas balearica,0,1,0,,,,,,,,
Kitasatospora setae,0,1,0,,,,,,,,
Kitasatospora phosalacinea,0,1,0,,,,,,,,
Kitasatospora purpeofusca,0,1,0,,,,,,,,
Kitasatospora aureofaciens,0,1,0,,,,,,,,
Kitasatospora aureofaciens,0,1,0,,,,,,,,
Kitasatospora albolonga,0,1,0,,,,,,,,
Kitasatospora putterlickiae,0,1,0,,,,,,,,
Kitasatospora mediocidica,0,1,0,,,,,,,,
Kitasatospora griseola,0,1,0,,,,,,,,
Kitasatospora azatica,0,1,0,,,,,,,,
Kitasatospora cheerisanensis,0,1,0,,,,,,,,
Ignavibacterium album,0,1,0,,,,,,,,
Microbulbifer aggregans,0,1,1,,,,,,,,
Microbulbifer mangrovi,0,1,0,,,,,,,,
Microbulbifer pacificus,0,1,0,,,,,,,,
Microbulbifer yueqingensis,0,1,0,,,,,,,,
Microbulbifer marinus,0,1,0,,,,,,,,
Microbulbifer variabilis,0,1,0,,,,,,,,
Microbulbifer donghaiensis,0,1,0,,,,,,,,
Microbulbifer agarilyticus,0,1,0,,,,,,,,
Microbulbifer thermotolerans,0,1,0,,,,,,,,
Microbulbifer hydrolyticus,0,0,1,,,,,,,,
Palaeococcus pacificus,1,1,0,0,2,0,0,0,0,0,0
Palaeococcus ferrophilus,0,0,0,,,,,,,,
Andreprevotia lacus,0,0,0,,,,,,,,
Andreprevotia chitinilytica,0,1,0,,,,,,,,
Mobiluncus holmesii,0,1,0,0,3,0,0,0,0,0,0
Mobiluncus mulieris,0,1,1,0,3,0,0,0,0,0,0
Dialister succinatiphilus,0,1,0,,,,,,,,
Dialister micraerophilus,0,1,0,0,3,0,0,0,0,0,0
Dialister invisus,0,1,0,0,1,0,1,0,0,0,0
Dialister pneumosintes,0,1,0,0,2,0,0,0,0,0,0
Krasilnikoviella flava,0,1,0,1,0,0,0,0,1,0,0
Thermodesulfobium narugense,0,0,1,,,,,,,,
Extibacter muris,0,1,1,0,2,0,0,0,0,0,0
Bartonella clarridgeiae,0,1,0,,,,,,,,
Bartonella apis,0,1,0,,,,,,,,
Bartonella elizabethae,0,1,0,,,,,,,,
Bartonella tribocorum,0,1,0,,,,,,,,
Bartonella henselae,0,1,0,,,,,,,,
Bartonella rochalimae,0,1,0,,,,,,,,
Bartonella rattaustraliani,0,1,0,0,0,0,0,0,0,2,0
Bartonella queenslandensis,0,1,0,0,0,0,0,0,0,2,0
Bartonella bovis,0,1,0,0,0,0,0,0,0,2,0
Bartonella birtlesii,0,1,0,0,0,0,0,0,0,2,0
Bartonella koehlerae,0,1,0,0,0,0,0,0,0,2,0
Bartonella alsatica,0,1,0,,,,,,,,
Bartonella quintana,0,1,0,,,,,,,,
Bartonella schoenbuchensis,0,1,0,,,,,,,,
Geopsychrobacter electrodiphilus,0,1,0,,,,,,,,
Hungatella hathewayi,,,,0,2,0,0,0,0,0,0
Rhodobium orientis,0,1,0,,,,,,,,
Sulfuritalea hydrogenivorans,0,1,0,,,,,,,,
Fictibacillus enclensis,0,1,0,,,,,,,,
Fictibacillus solisalsi,0,1,0,,,,,,,,
Fictibacillus macauensis,0,1,0,,,,,,,,
Fictibacillus arsenicus,0,1,0,,,,,,,,
Fictibacillus gelatini,0,1,0,,,,,,,,
Marinagarivorans algicola,0,1,0,,,,,,,,
Phaeodactylibacter xiamenensis,0,1,0,,,,,,,,
Moheibacter sediminis,0,1,0,,,,,,,,
Suttonella ornithocola,,,,1,0,0,0,0,0,2,0
Agathobaculum butyriciproducens,0,1,0,0,1,0,1,0,0,0,0
Starkeya novella,0,1,0,,,,,,,,
Acetitomaculum ruminis,0,1,0,,,,,,,,
Dichotomicrobium thermohalophilum,0,1,0,,,,,,,,
Desulfofaba hansenii,0,1,0,,,,,,,,
Desulfatiglans anilini,0,1,0,,,,,,,,
Desulfotignum phosphitoxidans,0,1,0,,,,,,,,
Phenylobacterium hankyongense,0,1,0,,,,,,,,
Phenylobacterium deserti,1,1,1,,,,,,,,
Phenylobacterium immobile,0,0,1,,,,,,,,
Changchengzhania lutea,1,1,0,,,,,,,,
Sphaerisporangium cinnabarinum,0,1,0,,,,,,,,
Acetanaerobacterium elongatum,0,1,0,,,,,,,,
Zavarzinia compransoris,0,1,0,,,,,,,,
Fusicatenibacter saccharivorans,,,,0,2,0,0,0,0,0,0
Halogranum amylolyticum,0,1,0,,,,,,,,
Halogranum salarium,0,1,0,,,,,,,,
Halanaeroarchaeum sulfurireducens,0,1,0,,,,,,,,
Actinoalloteichus hoggarensis,0,1,0,,,,,,,,
Actinoalloteichus hymeniacidonis,0,1,0,,,,,,,,
Actinoalloteichus spitiensis,0,1,0,,,,,,,,
Halonatronum saccharophilum,0,1,0,,,,,,,,
Marinomonas spartinae,0,1,0,,,,,,,,
Marinomonas gallaica,1,0,0,,,,,,,,
Marinomonas primoryensis,1,0,0,,,,,,,,
Marinomonas aquimarina,1,1,0,,,,,,,,
Marinomonas polaris,0,1,0,,,,,,,,
Marinomonas ushuaiensis,1,1,0,,,,,,,,
Marinomonas mediterranea,1,1,0,,,,,,,,
Siphonobacter curvatus,0,1,0,,,,,,,,
Siphonobacter aquaeclarae,0,1,0,,,,,,,,
Tenacibaculum agarivorans,,,,2,0,0,0,0,0,0,0
Tenacibaculum soleae,1,1,0,,,,,,,,
Tenacibaculum dicentrarchi,0,1,0,,,,,,,,
Tenacibaculum ovolyticum,0,1,0,,,,,,,,
